Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.0120195935368957, 0.000001, 26002
Channel 1 (PXI1Slot5/1), -0.0120195935368957, 0.000001, 26002

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-1.99116485944251, -1.96568925958127
-1.99116485944251, -1.96568925958127
-1.98570735059911, -1.9629532166291
-1.98707172780996, -1.96910931327147
-1.98980048223166, -1.96568925958127
-1.98980048223166, -1.96500524884323
-1.98775391641539, -1.96705728105735
-1.98707172780996, -1.96774129179539
-1.99048267083708, -1.96158519515302
-1.98980048223166, -1.96842530253343
-1.98570735059911, -1.96158519515302
-1.98775391641539, -1.96432123810519
-1.98843610502081, -1.96774129179539
-1.98638953920454, -1.96842530253343
-1.98570735059911, -1.96774129179539
-1.98911829362623, -1.9629532166291
-1.98570735059911, -1.96842530253343
-1.98843610502081, -1.96637327031931
-1.98843610502081, -1.96842530253343
-1.98638953920454, -1.96705728105735
-1.98980048223166, -1.96500524884323
-1.98502516199369, -1.96705728105735
-1.98502516199369, -1.96568925958127
-1.98638953920454, -1.96568925958127
-1.98843610502081, -1.96637327031931
-1.99184704804793, -1.96842530253343
-1.98707172780996, -1.96774129179539
-1.98502516199369, -1.96637327031931
-1.98502516199369, -1.96637327031931
-1.98229640757199, -1.96432123810519
-1.98707172780996, -1.96432123810519
-1.98570735059911, -1.96226920589106
-1.98843610502081, -1.96500524884323
-1.98911829362623, -1.96568925958127
-1.98638953920454, -1.96568925958127
-1.98570735059911, -1.9629532166291
-1.98775391641539, -1.96705728105735
-1.98638953920454, -1.96432123810519
-1.98843610502081, -1.96568925958127
-1.98434297338827, -1.96500524884323
-1.98843610502081, -1.96568925958127
-1.98707172780996, -1.96500524884323
-1.98638953920454, -1.96432123810519
-1.98980048223166, -1.96705728105735
-1.98570735059911, -1.96910931327147
-1.98297859617742, -1.96774129179539
-1.98911829362623, -1.96910931327147
-1.98707172780996, -1.96500524884323
-1.98434297338827, -1.96637327031931
-1.98638953920454, -1.96363722736714
-1.98980048223166, -1.96774129179539
-1.98911829362623, -1.96363722736714
-1.98707172780996, -1.96568925958127
-1.98638953920454, -1.96774129179539
-1.98638953920454, -1.96568925958127
-1.99252923665335, -1.96568925958127
-1.98366078478284, -1.96910931327147
-1.98638953920454, -1.96432123810519
